base,base_is_boundary,base_community,optionA_dest,optionA_plausible,optionA_steps,optionA_within_code,optionA_same_community,optionA_dest_is_boundary,optionA_tag,optionA_tag_wx,optionB_dest,optionB_plausible,optionB_steps,optionB_within_code,optionB_same_community,optionB_dest_is_boundary,optionB_tag,optionB_tag_wx,comparison_type,comparison_pair_tag,comparison_pair_tag_wx
G,True,1,E,False,2.0,W,True,True,IB2,IB2W,H,True,1.0,W,True,False,PB1,PB1W,T1,IB2__PB1,IB2W__PB1W
G,True,1,F,True,1.0,W,True,False,PB1,PB1W,H,True,1.0,W,True,False,PB1,PB1W,T2,PB1__PB1,PB1W__PB1W
H,False,1,A,False,3.0,X,False,False,INB3,INB3X,B,False,2.0,X,False,True,INB2,INB2X,T0,INB2__INB3,INB2X__INB3X
H,False,1,A,False,3.0,X,False,False,INB3,INB3X,C,False,3.0,X,False,False,INB3,INB3X,T0,INB3__INB3,INB3X__INB3X
H,False,1,A,False,3.0,X,False,False,INB3,INB3X,D,False,2.0,X,False,True,INB2,INB2X,T0,INB2__INB3,INB2X__INB3X
H,False,1,A,False,3.0,X,False,False,INB3,INB3X,E,True,1.0,W,True,True,PNB1,PNB1W,T1,INB3__PNB1,INB3X__PNB1W
H,False,1,A,False,3.0,X,False,False,INB3,INB3X,F,True,1.0,W,True,False,PNB1,PNB1W,T1,INB3__PNB1,INB3X__PNB1W
H,False,1,A,False,3.0,X,False,False,INB3,INB3X,G,True,1.0,W,True,True,PNB1,PNB1W,T1,INB3__PNB1,INB3X__PNB1W
H,False,1,B,False,2.0,X,False,True,INB2,INB2X,C,False,3.0,X,False,False,INB3,INB3X,T0,INB2__INB3,INB2X__INB3X
H,False,1,B,False,2.0,X,False,True,INB2,INB2X,D,False,2.0,X,False,True,INB2,INB2X,T0,INB2__INB2,INB2X__INB2X
H,False,1,B,False,2.0,X,False,True,INB2,INB2X,E,True,1.0,W,True,True,PNB1,PNB1W,T1,INB2__PNB1,INB2X__PNB1W
H,False,1,B,False,2.0,X,False,True,INB2,INB2X,F,True,1.0,W,True,False,PNB1,PNB1W,T1,INB2__PNB1,INB2X__PNB1W
H,False,1,B,False,2.0,X,False,True,INB2,INB2X,G,True,1.0,W,True,True,PNB1,PNB1W,T1,INB2__PNB1,INB2X__PNB1W
H,False,1,C,False,3.0,X,False,False,INB3,INB3X,D,False,2.0,X,False,True,INB2,INB2X,T0,INB2__INB3,INB2X__INB3X
H,False,1,C,False,3.0,X,False,False,INB3,INB3X,E,True,1.0,W,True,True,PNB1,PNB1W,T1,INB3__PNB1,INB3X__PNB1W
H,False,1,C,False,3.0,X,False,False,INB3,INB3X,F,True,1.0,W,True,False,PNB1,PNB1W,T1,INB3__PNB1,INB3X__PNB1W
H,False,1,C,False,3.0,X,False,False,INB3,INB3X,G,True,1.0,W,True,True,PNB1,PNB1W,T1,INB3__PNB1,INB3X__PNB1W
H,False,1,D,False,2.0,X,False,True,INB2,INB2X,E,True,1.0,W,True,True,PNB1,PNB1W,T1,INB2__PNB1,INB2X__PNB1W
H,False,1,D,False,2.0,X,False,True,INB2,INB2X,F,True,1.0,W,True,False,PNB1,PNB1W,T1,INB2__PNB1,INB2X__PNB1W
H,False,1,D,False,2.0,X,False,True,INB2,INB2X,G,True,1.0,W,True,True,PNB1,PNB1W,T1,INB2__PNB1,INB2X__PNB1W
H,False,1,E,True,1.0,W,True,True,PNB1,PNB1W,F,True,1.0,W,True,False,PNB1,PNB1W,T2,PNB1__PNB1,PNB1W__PNB1W
H,False,1,E,True,1.0,W,True,True,PNB1,PNB1W,G,True,1.0,W,True,True,PNB1,PNB1W,T2,PNB1__PNB1,PNB1W__PNB1W
H,False,1,F,True,1.0,W,True,False,PNB1,PNB1W,G,True,1.0,W,True,True,PNB1,PNB1W,T2,PNB1__PNB1,PNB1W__PNB1W
